Source,Target,Weight
CRD Fernando,A Dananjaya,0
HMRKB Herath,SL Malinga,0
HMRKB Herath,HDRL Thirimanne,4
HMRKB Herath,MDKJ Perera,0
HMRKB Herath,BKG Mendis,0
HMRKB Herath,N Pradeep,0
HMRKB Herath,WU Tharanga,0
HMRKB Herath,A Dananjaya,0
SL Malinga,HDRL Thirimanne,0
SL Malinga,MDKJ Perera,2
SL Malinga,BKG Mendis,2
SL Malinga,N Pradeep,0
SL Malinga,WU Tharanga,6
SL Malinga,A Dananjaya,1
HDRL Thirimanne,MDKJ Perera,0
HDRL Thirimanne,BKG Mendis,0
HDRL Thirimanne,N Pradeep,0
HDRL Thirimanne,WU Tharanga,0
HDRL Thirimanne,A Dananjaya,0
MDKJ Perera,BKG Mendis,3
MDKJ Perera,N Pradeep,4
MDKJ Perera,WU Tharanga,5
MDKJ Perera,A Dananjaya,3
BKG Mendis,N Pradeep,2
BKG Mendis,WU Tharanga,3
BKG Mendis,A Dananjaya,0
RLB Rambukwella,N Pradeep,1
RLB Rambukwella,WU Tharanga,0
RLB Rambukwella,A Dananjaya,0
MF Maharoof,N Pradeep,1
MF Maharoof,WU Tharanga,0
MF Maharoof,A Dananjaya,0
KMC Bandara,N Pradeep,1
KMC Bandara,WU Tharanga,0
KMC Bandara,A Dananjaya,0
N Pradeep,WU Tharanga,3
N Pradeep,A Dananjaya,3
DM de,WU Tharanga,1
DM de,A Dananjaya,0
SS Pathirana,WU Tharanga,0
SS Pathirana,A Dananjaya,0
ST de,WU Tharanga,1
ST de,A Dananjaya,0
PADLR Sandakan,WU Tharanga,2
PADLR Sandakan,A Dananjaya,0
WU Tharanga,A Dananjaya,4
EMDY Munaweera,A Dananjaya,1
JRMVB Sanjaya,A Dananjaya,0
SMA Priyanjan,A Dananjaya,1
