Source,Target,Weight,Country
KS Williamson,YS Chahal,17,New Zealand
KS Williamson,DS Kulkarni,17,New Zealand
KS Williamson,LA Dawson,17,New Zealand
KS Williamson,TS Mills,17,New Zealand
KS Williamson,KA Pollard,17,New Zealand
KS Williamson,SP Narine,17,New Zealand
KS Williamson,A Mishra,17,New Zealand
KS Williamson,GJ Bailey,17,New Zealand
KS Williamson,MC Henriques,17,New Zealand
KS Williamson,Babar Azam,17,New Zealand
KS Williamson,Sohail Tanvir,17,New Zealand
KS Williamson,Hasan Ali,17,New Zealand
KS Williamson,CAK Walton,17,New Zealand
KS Williamson,KOK Williams,17,New Zealand
KS Williamson,Rumman Raees,17,New Zealand
KS Williamson,Rubel Hossain,17,New Zealand
KS Williamson,JDS Neesham,17,New Zealand
KS Williamson,JT Smuts,17,New Zealand
KS Williamson,M Klinger,17,New Zealand
KS Williamson,Kamran Akmal,17,New Zealand
KS Williamson,Shadab Khan,17,New Zealand
KS Williamson,T Shamsi,17,New Zealand
KS Williamson,DJ Malan,17,New Zealand
KS Williamson,KD Karthik,17,New Zealand
KS Williamson,Kuldeep Yadav,17,New Zealand
KS Williamson,Sohail Khan,17,New Zealand
KS Williamson,DT Christian,17,New Zealand
C Munro,GD Elliott,18,New Zealand
C Munro,NLTC Perera,18,New Zealand
C Munro,L Ronchi,18,New Zealand
C Munro,MJ Henry,18,New Zealand
C Munro,MJ McClenaghan,18,New Zealand
C Munro,IS Sodhi,18,New Zealand
C Munro,Mohammad Shahzad,18,New Zealand
C Munro,Mohammad Nabi,18,New Zealand
C Munro,Rashid Khan,18,New Zealand
C Munro,MJ Santner,18,New Zealand
C Munro,AF Milne,18,New Zealand
C Munro,Mohammad Hafeez,18,New Zealand
C Munro,Ahmed Shehzad,18,New Zealand
C Munro,Shoaib Malik,18,New Zealand
C Munro,Umar Akmal,18,New Zealand
C Munro,Shahid Afridi,18,New Zealand
C Munro,Imad Wasim,18,New Zealand
C Munro,Wahab Riaz,18,New Zealand
C Munro,Mohammad Amir,18,New Zealand
C Munro,Tamim Iqbal,18,New Zealand
C Munro,Sabbir Rahman,18,New Zealand
C Munro,Shakib Al,18,New Zealand
C Munro,Mahmudullah,18,New Zealand
C Munro,Mashrafe Mortaza,18,New Zealand
C Munro,Al-Amin Hossain,18,New Zealand
C Munro,Mustafizur Rahman,18,New Zealand
C Munro,Taskin Ahmed,18,New Zealand
C Munro,RG Sharma,18,New Zealand
C Munro,S Dhawan,18,New Zealand
C Munro,V Kohli,18,New Zealand
C Munro,SK Raina,18,New Zealand
C Munro,MS Dhoni,18,New Zealand
C Munro,AJ Finch,18,New Zealand
C Munro,DA Warner,18,New Zealand
C Munro,SPD Smith,18,New Zealand
C Munro,CA Lynn,18,New Zealand
C Munro,SR Watson,18,New Zealand
C Munro,HH Pandya,18,New Zealand
C Munro,JJ Bumrah,18,New Zealand
C Munro,A Nehra,18,New Zealand
C Munro,SE Marsh,18,New Zealand
C Munro,GJ Maxwell,18,New Zealand
C Munro,AJ Tye,18,New Zealand
C Munro,AM Rahane,18,New Zealand
C Munro,S Prasanna,18,New Zealand
C Munro,JJ Roy,18,New Zealand
C Munro,EJG Morgan,18,New Zealand
C Munro,JC Buttler,18,New Zealand
C Munro,CJ Jordan,18,New Zealand
C Munro,AU Rashid,18,New Zealand
C Munro,DJ Willey,18,New Zealand
C Munro,HM Amla,18,New Zealand
C Munro,AB de,18,New Zealand
C Munro,DA Miller,18,New Zealand
C Munro,D Wiese,18,New Zealand
C Munro,CH Morris,18,New Zealand
C Munro,KJ Abbott,18,New Zealand
C Munro,Imran Tahir,18,New Zealand
C Munro,SW Billings,18,New Zealand
C Munro,SL Malinga,18,New Zealand
C Munro,Mohammad Sami,18,New Zealand
C Munro,B Kumar,18,New Zealand
C Munro,A Zampa,18,New Zealand
C Munro,F Behardien,18,New Zealand
C Munro,J Charles,18,New Zealand
C Munro,CH Gayle,18,New Zealand
C Munro,MN Samuels,18,New Zealand
C Munro,DJ Bravo,18,New Zealand
C Munro,AD Russell,18,New Zealand
C Munro,DJG Sammy,18,New Zealand
C Munro,CR Brathwaite,18,New Zealand
C Munro,S Badree,18,New Zealand
C Munro,ADS Fletcher,18,New Zealand
C Munro,LE Plunkett,18,New Zealand
C Munro,E Lewis,18,New Zealand
C Munro,LMP Simmons,18,New Zealand
C Munro,R Dhawan,18,New Zealand
C Munro,JD Unadkat,18,New Zealand
C Munro,YS Chahal,18,New Zealand
C Munro,DS Kulkarni,18,New Zealand
C Munro,LA Dawson,18,New Zealand
C Munro,TS Mills,18,New Zealand
C Munro,KA Pollard,18,New Zealand
